transaction_id,bank_id,customer_id,amount
762c0a96-7d10-40f1-8daf-59a3b125bb6b,100,1342,7770.36
a7491b7b-fc75-40f5-bc1a-54a26dcc4fcf,91,1,7217.89
f9aa6cbd-ae13-470b-8e66-98c98808d802,74,896,1707.57
52a1ce54-c043-43c5-b08d-6971a51a9ecf,86,1053,2211.62
3d635cee-41dc-4fea-9c74-c9c865506b1c,101,1120,6808.6
6d4e8bf1-9e39-482e-b2c7-d32821cefa2f,16,824,2542.81
3e1b6479-168d-42bb-999a-d5eb556b89f1,106,462,-1868.71
c58ed0e6-90aa-4b1c-af3b-b7da72b376d6,100,737,5645.5
362ba15e-5bb6-4f68-973b-64d8e2f7ab2a,87,652,266.68
5302f9fa-e156-47d4-b716-b19774175874,89,767,-8329.41
2894566b-b8f9-41d0-ae9d-3222d7a0ff80,7,968,3225.47
49239e61-7654-4b71-a3ae-95f3ff77d7b4,3,559,-9355.5
d2287682-47db-4d36-9c10-b197ba403e6d,64,489,2322.59
32af5642-11c9-402b-a681-da852a782146,20,54,4381.79
8a4b98fc-02d1-43da-8709-e012dc08607a,6,654,-2126.39
7cdbf0d5-1e82-42ce-af1f-87a641b34001,95,836,3917.2
65f03f88-d1f2-403a-a3c4-29895d41afe4,108,49,9240.93
68b587a0-038e-4dcf-8246-daad761faf02,31,79,-6875.17
c542051d-6b12-4d35-9557-e2b2ab77257b,40,384,-2397.82
da84f6b5-0a28-4da9-aafd-c4673853709d,43,1234,-8464.18
d9b0691e-24da-4c17-8cd9-e1b6fcd1d7ee,83,771,3129.34
663b5654-2453-49b1-839e-1f89187515e1,85,1286,2750.5
87fd8cbf-b4b3-4722-953e-a65f6271b635,3,673,9067.9
0f28a6d7-2727-417d-acbd-897f9c90c2b1,62,1055,-3663.72
c88b5769-2422-47fe-a9b1-28440bf406bf,22,138,-4792.91
c024fab6-98f5-45a1-986e-3c600b934d0e,13,1157,-7356.63
6901d49c-60df-4818-85b7-a7cce7e33e52,85,453,8552.21
e2bb2ffd-c76b-488c-a59d-203af98145bf,19,277,-9592.27
2ce37ffe-7c1d-40bb-bd2e-1fd68b876bbf,91,701,-1495.13
b1b2793a-4ab4-408f-8764-c7c88c6564dd,59,730,8464.32
87e6b4cf-6d95-4914-a7f0-88ee2eb2b794,63,316,4992.76
739959b6-473a-4ccf-a1cd-4f3a795d4815,36,1301,3446.18
211b9f30-efb3-44e0-91fd-ce163ee5f74c,86,1087,6813.37
88ef2fe7-bccf-4bff-bfef-e105a81429af,40,958,8151.44
3a628018-65a1-419f-b189-05383dc096ad,105,344,3189.84
10e459d5-4a10-478d-b2d6-e4c86e201cb8,111,555,-9299.12
1d4c3a53-eecf-486f-8ea8-8f92880832f6,110,3,-2508.03
b651435c-4f88-4668-839a-0f50b6219a22,87,608,-4578.13
6d3ced78-74d8-4713-b71f-f7dcb9fa0ed1,22,921,1154.73
cb2fbb80-53d0-4e01-8c01-54d11c9afcf7,46,457,4411.41
007e3264-0df9-4161-b436-04354e162b93,21,749,-2625.12
d3d2d185-d3ae-4f6e-b8e8-9811610bbaf1,44,318,-7391.3
